risk,rust_file,upstream_file,mapped_by_parity,rust_tokens,upstream_tokens,token_cosine,generic_token_cosine,identifier_jaccard,shared_identifiers,code_shingles,generic_code_shingles,comment_shingles,shared_string_literals,example_shared_strings
low,src/migrad/builder.rs,src/FumiliBuilder.cxx,no,1615,2970,0.8946,0.9764,0.1481,32,0,53,0,0,
low,src/migrad/builder.rs,src/MnHesse.cxx,no,1615,3081,0.8943,0.9714,0.0947,23,0,40,0,0,
low,src/hesse/calculator.rs,src/MnHesse.cxx,no,1392,3081,0.8905,0.9686,0.1542,33,0,25,0,0,
low,src/user_parameters.rs,src/VariableMetricBuilder.cxx,no,1781,2047,0.8905,0.9761,0.0608,11,0,2,0,0,
low,src/bin/ref_compare_runner.rs,src/VariableMetricBuilder.cxx,no,2668,2047,0.8882,0.9655,0.0698,15,0,4,0,0,
low,src/user_parameters.rs,src/FumiliBuilder.cxx,no,1781,2970,0.8881,0.9733,0.0485,10,0,2,0,0,
low,src/minos/function_cross.rs,src/SimplexBuilder.cxx,no,2284,1671,0.8871,0.983,0.0402,9,0,0,0,0,
low,src/gradient/analytical.rs,src/MnFunctionCross.cxx,no,1312,3954,0.8864,0.9786,0.0244,5,0,0,0,0,
low,src/minos/function_cross.rs,src/MnUserParameterState.cxx,no,2284,3470,0.8863,0.9637,0.0656,16,0,2,0,0,
low,src/minos/function_cross.rs,src/VariableMetricBuilder.cxx,no,2284,2047,0.8861,0.9791,0.0563,13,0,7,0,0,
low,src/minos/function_cross.rs,src/MnFunctionCross.cxx,no,2284,3954,0.8859,0.9785,0.1404,32,0,12,0,0,
low,src/migrad/builder.rs,src/VariableMetricBuilder.cxx,no,1615,2047,0.8856,0.9759,0.1667,32,0,50,0,0,
low,src/minimum/mod.rs,src/ScanBuilder.cxx,no,1360,304,0.8847,0.9722,0.1128,15,0,2,0,0,
low,src/simplex/builder.rs,src/MnHesse.cxx,no,1505,3081,0.884,0.9735,0.0789,18,0,26,0,0,
low,src/user_parameters.rs,src/MnHesse.cxx,no,1781,3081,0.8826,0.9679,0.0636,14,0,2,0,0,
low,src/print.rs,src/VariableMetricBuilder.cxx,no,323,2047,0.8822,0.9264,0.0738,9,0,0,0,0,
low,src/simplex/builder.rs,src/MnContours.cxx,no,1505,3126,0.8821,0.9857,0.0205,5,0,12,0,0,
low,src/hesse/calculator.rs,src/HessianGradientCalculator.cxx,no,1392,767,0.882,0.97,0.1026,16,0,0,0,0,
low,src/minos/function_cross.rs,src/MnSeedGenerator.cxx,no,2284,1664,0.882,0.9779,0.0336,8,0,3,0,0,
low,src/user_parameters.rs,src/ScanBuilder.cxx,no,1781,304,0.8818,0.9725,0.0635,8,0,0,0,0,
low,src/gradient/analytical.rs,src/MnHesse.cxx,no,1312,3081,0.8816,0.9682,0.0926,20,0,1,0,0,
low,src/simplex/builder.rs,src/FumiliBuilder.cxx,no,1505,2970,0.8814,0.978,0.1068,22,0,31,0,0,
low,src/minos/function_cross.rs,src/NumericalDerivator.cxx,no,2284,1768,0.8812,0.9773,0.0324,8,0,0,0,0,
low,src/minimum/mod.rs,src/VariableMetricBuilder.cxx,no,1360,2047,0.8809,0.9736,0.0899,17,0,16,0,0,
low,src/user_transformation.rs,src/FumiliBuilder.cxx,no,2894,2970,0.8806,0.9681,0.0563,13,0,3,0,0,
low,src/migrad/builder.rs,src/MnContours.cxx,no,1615,3126,0.8803,0.9816,0.0386,10,0,8,0,0,
low,src/user_transformation.rs,src/MnContours.cxx,no,2894,3126,0.8802,0.9604,0.0516,13,0,0,0,0,
low,src/minos/function_cross.rs,src/MnMinos.cxx,no,2284,1308,0.8801,0.9793,0.1043,22,0,4,0,0,
low,src/bin/ref_compare_runner.rs,src/MnHesse.cxx,no,2668,3081,0.8799,0.9648,0.0667,17,0,20,0,0,
low,src/user_parameters.rs,src/MnUserParameterState.cxx,no,1781,3470,0.8798,0.9636,0.1429,26,0,3,0,0,
low,src/user_transformation.rs,src/VariableMetricBuilder.cxx,no,2894,2047,0.8795,0.9697,0.068,14,0,0,0,0,
low,src/hesse/mod.rs,src/MnHesse.cxx,no,874,3081,0.8792,0.97,0.0966,20,0,30,0,0,
low,src/print.rs,src/FumiliBuilder.cxx,no,323,2970,0.8788,0.9251,0.0616,9,0,0,0,0,
low,src/hesse/calculator.rs,src/MnSeedGenerator.cxx,no,1392,1664,0.8785,0.9703,0.107,20,0,1,0,0,
low,src/gradient/analytical.rs,src/MnLineSearch.cxx,no,1312,4579,0.878,0.9743,0.0271,6,0,1,0,0,
low,src/user_parameters.rs,src/MnContours.cxx,no,1781,3126,0.8776,0.9621,0.0487,11,0,0,0,0,
low,src/global_cc.rs,src/MnFunctionCross.cxx,no,472,3954,0.877,0.9506,0.0134,2,0,0,0,0,
low,src/posdef.rs,src/MnFunctionCross.cxx,no,926,3954,0.8766,0.9284,0.0385,6,0,0,0,0,
low,src/minos/function_cross.rs,src/Minuit2Minimizer.cxx,no,2284,7525,0.8756,0.9721,0.0596,26,0,3,0,0,
low,src/minimum/mod.rs,src/FumiliBuilder.cxx,no,1360,2970,0.8753,0.97,0.09,19,0,23,0,0,
low,src/minos/function_cross.rs,src/NegativeG2LineSearch.cxx,no,2284,853,0.8751,0.9726,0.0402,8,0,2,0,0,
low,src/bin/ref_compare_runner.rs,src/MnMinos.cxx,no,2668,1308,0.8749,0.9623,0.0896,18,0,0,0,0,
low,src/user_transformation.rs,src/MnHesse.cxx,no,2894,3081,0.8748,0.9632,0.065,16,0,0,0,0,
low,src/user_parameters.rs,src/MnMinos.cxx,no,1781,1308,0.8746,0.9654,0.097,16,0,0,0,0,
low,src/minos/function_cross.rs,src/ScanBuilder.cxx,no,2284,304,0.873,0.9764,0.069,12,0,0,0,0,
low,src/minimum/mod.rs,src/MnUserParameterState.cxx,no,1360,3470,0.8725,0.9611,0.1269,25,0,12,0,0,
low,src/hesse/calculator.rs,src/MnLineSearch.cxx,no,1392,4579,0.8723,0.968,0.0439,10,0,1,0,0,
low,src/migrad/builder.rs,src/ScanBuilder.cxx,no,1615,304,0.8723,0.9739,0.0921,14,0,18,0,0,
low,src/gradient/analytical.rs,src/MnContours.cxx,no,1312,3126,0.8722,0.9713,0.0346,8,0,0,0,0,
low,src/hesse/calculator.rs,src/MnFunctionCross.cxx,no,1392,3954,0.8721,0.9692,0.0474,10,0,2,0,0,
low,src/covariance_squeeze.rs,src/MnLineSearch.cxx,no,1124,4579,0.8715,0.9462,0.011,2,0,0,0,0,
low,src/python.rs,src/VariableMetricBuilder.cxx,no,5223,2047,0.8714,0.9711,0.0571,19,0,9,0,0,
low,src/user_transformation.rs,src/ScanBuilder.cxx,no,2894,304,0.8714,0.9669,0.0519,8,0,0,0,0,
low,src/hesse/mod.rs,src/ScanBuilder.cxx,no,874,304,0.8711,0.9744,0.1239,14,0,4,0,0,
low,src/simplex/builder.rs,src/MnSeedGenerator.cxx,no,1505,1664,0.8709,0.9792,0.0564,11,0,9,0,0,
low,src/minos/function_cross.rs,src/InitialGradientCalculator.cxx,no,2284,608,0.8705,0.972,0.0363,7,0,0,0,0,
low,src/migrad/builder.rs,src/MnSeedGenerator.cxx,no,1615,1664,0.8701,0.9737,0.1078,22,0,13,0,0,
low,src/covariance_squeeze.rs,src/MnFunctionCross.cxx,no,1124,3954,0.8699,0.946,0.0061,1,0,0,0,0,
low,src/user_parameters.rs,src/MnSeedGenerator.cxx,no,1781,1664,0.8697,0.9665,0.0718,13,0,0,0,0,
low,src/gradient/analytical.rs,src/MnSeedGenerator.cxx,no,1312,1664,0.8693,0.9686,0.0829,15,0,0,0,0,
low,src/gradient/analytical.rs,src/FumiliBuilder.cxx,no,1312,2970,0.8692,0.9683,0.0792,16,0,2,0,0,
low,src/contours/mod.rs,src/MnLineSearch.cxx,no,1055,4579,0.8688,0.9771,0.0337,7,0,0,0,0,
low,src/minos/function_cross.rs,src/MnPosDef.cxx,no,2284,651,0.8688,0.9561,0.0328,6,0,0,0,0,
low,src/minimum/mod.rs,src/MnHesse.cxx,no,1360,3081,0.8687,0.964,0.0973,22,0,13,0,0,
low,src/user_transformation.rs,src/MnUserParameterState.cxx,no,2894,3470,0.8687,0.9589,0.1456,30,0,0,0,0,
low,src/hesse/mod.rs,src/FumiliBuilder.cxx,no,874,2970,0.8685,0.9719,0.1058,20,0,33,0,0,
low,src/migrad/builder.rs,src/MnMinos.cxx,no,1615,1308,0.8683,0.9816,0.0441,9,0,7,0,0,
low,src/minos/function_cross.rs,src/HessianGradientCalculator.cxx,no,2284,767,0.8681,0.9711,0.0446,9,0,2,0,0,
low,src/covariance_squeeze.rs,src/MnPosDef.cxx,no,1124,651,0.868,0.9561,0.0674,6,0,0,0,0,
low,src/covariance_squeeze.rs,test/testUserFunc.cxx,no,1124,269,0.8679,0.9647,0.0122,1,0,0,0,0,
low,src/hesse/calculator.rs,src/SimplexBuilder.cxx,no,1392,1671,0.8678,0.97,0.096,17,0,7,0,0,
low,src/hesse/calculator.rs,src/FumiliBuilder.cxx,no,1392,2970,0.8675,0.9661,0.1171,24,0,19,0,0,
low,src/python.rs,src/MnContours.cxx,no,5223,3126,0.8673,0.9725,0.0701,26,0,2,0,0,
low,src/simplex/builder.rs,src/NumericalDerivator.cxx,no,1505,1768,0.867,0.983,0.0488,10,0,0,0,0,
low,src/hesse/mod.rs,src/MnSeedGenerator.cxx,no,874,1664,0.8668,0.973,0.0686,12,0,5,0,0,
low,src/migrad/builder.rs,src/NegativeG2LineSearch.cxx,no,1615,853,0.8665,0.9666,0.1198,20,0,2,0,0,
low,src/covariance_squeeze.rs,src/MnContours.cxx,no,1124,3126,0.8662,0.9349,0.0263,5,0,0,0,0,
low,src/print.rs,src/MnMinos.cxx,no,323,1308,0.8658,0.9052,0.0811,9,0,0,0,0,
low,src/simplex/builder.rs,src/MnFunctionCross.cxx,no,1505,3954,0.8657,0.9815,0.0377,8,0,3,0,0,
low,src/simplex/builder.rs,src/VariableMetricBuilder.cxx,no,1505,2047,0.8652,0.9757,0.1087,20,0,39,0,0,
low,src/contours/mod.rs,src/MnContours.cxx,no,1055,3126,0.865,0.9761,0.1182,24,0,1,0,0,
low,src/hesse/calculator.rs,src/AnalyticalGradientCalculator.cxx,no,1392,941,0.8647,0.9643,0.0694,10,0,2,0,0,
low,src/user_parameters.rs,src/NegativeG2LineSearch.cxx,no,1781,853,0.8647,0.9665,0.0764,11,0,2,0,0,
low,src/gradient/analytical.rs,src/NumericalDerivator.cxx,no,1312,1768,0.8645,0.9683,0.1081,20,0,1,0,0,
low,src/user_parameters.rs,src/InitialGradientCalculator.cxx,no,1781,608,0.8644,0.9626,0.0725,10,0,0,0,0,
low,src/hesse/calculator.rs,src/NegativeG2LineSearch.cxx,no,1392,853,0.8642,0.9656,0.098,15,0,5,0,0,
low,src/user_transformation.rs,src/MnMinos.cxx,no,2894,1308,0.8642,0.9599,0.0885,17,0,1,0,0,
low,src/covariance_squeeze.rs,src/MnHesse.cxx,no,1124,3081,0.8641,0.9489,0.0323,6,0,1,0,0,
low,src/print.rs,src/MnSeedGenerator.cxx,no,323,1664,0.8641,0.9166,0.0472,6,0,0,0,0,
low,src/gradient/numerical.rs,src/MnLineSearch.cxx,no,1541,4579,0.8633,0.9714,0.0622,13,0,0,0,0,
low,src/python.rs,src/FumiliBuilder.cxx,no,5223,2970,0.8633,0.9662,0.0532,19,0,12,0,0,
low,src/migrad/builder.rs,src/MnUserParameterState.cxx,no,1615,3470,0.8632,0.9541,0.0526,12,0,48,0,0,
low,src/hesse/calculator.rs,src/NumericalDerivator.cxx,no,1392,1768,0.863,0.9595,0.0537,11,0,0,0,0,
low,src/migrad/builder.rs,src/SimplexBuilder.cxx,no,1615,1671,0.8629,0.9771,0.0923,18,0,14,0,0,
low,src/migrad/builder.rs,src/NumericalDerivator.cxx,no,1615,1768,0.8625,0.9786,0.0307,7,0,11,0,0,
low,src/migrad/seed.rs,src/MnHesse.cxx,no,1080,3081,0.8625,0.964,0.125,25,0,12,0,0,
low,src/simplex/builder.rs,src/ScanBuilder.cxx,no,1505,304,0.8624,0.9767,0.1061,14,0,1,0,0,
low,src/simplex/builder.rs,src/MnLineSearch.cxx,no,1505,4579,0.8623,0.9786,0.0533,12,0,9,0,0,
low,src/simplex/builder.rs,src/NegativeG2LineSearch.cxx,no,1505,853,0.8621,0.9707,0.0774,12,0,4,0,0,
low,src/hesse/mod.rs,src/VariableMetricBuilder.cxx,no,874,2047,0.862,0.9714,0.1078,18,0,32,0,0,
