case_id,impl,batch_id,sample_index,time_s
usgs_earthquakes,rust,0,3,0.000012143
usgs_earthquakes,rust,0,4,0.000012493
usgs_earthquakes,rust,0,5,0.000034204
usgs_earthquakes,rust,0,6,0.000012884
usgs_earthquakes,rust,0,7,0.000012243
usgs_earthquakes,rust,0,8,0.000012483
usgs_earthquakes,rust,0,9,0.000012484
usgs_earthquakes,rust,0,10,0.000012132
usgs_earthquakes,rust,0,11,0.000011963
usgs_earthquakes,rust,0,12,0.000012453
usgs_earthquakes,rust,0,13,0.000012223
usgs_earthquakes,rust,0,14,0.000012754
usgs_earthquakes,rust,0,15,0.000012363
usgs_earthquakes,rust,0,16,0.000012112
usgs_earthquakes,rust,0,17,0.000012013
usgs_earthquakes,rust,0,18,0.000012353
usgs_earthquakes,rust,0,19,0.000012433
usgs_earthquakes,rust,0,20,0.000011892
usgs_earthquakes,rust,0,21,0.000012314
usgs_earthquakes,rust,0,22,0.000012002
usgs_earthquakes,rust,0,23,0.000012293
usgs_earthquakes,rust,0,24,0.000012373
usgs_earthquakes,rust,0,25,0.000012303
usgs_earthquakes,rust,0,26,0.000011962
usgs_earthquakes,rust,0,27,0.000012193
usgs_earthquakes,rust,0,28,0.000012293
usgs_earthquakes,rust,0,29,0.000012293
usgs_earthquakes,rust,0,30,0.000012203
usgs_earthquakes,rust,0,31,0.000012133
usgs_earthquakes,rust,0,32,0.000012193
usgs_earthquakes,rust,0,33,0.000012123
usgs_earthquakes,rust,0,34,0.000011902
usgs_earthquakes,rust,0,35,0.000012013
usgs_earthquakes,rust,0,36,0.000012443
usgs_earthquakes,rust,0,37,0.000012203
usgs_earthquakes,rust,0,38,0.000012123
usgs_earthquakes,rust,0,39,0.000011882
usgs_earthquakes,rust,0,40,0.000012253
usgs_earthquakes,rust,7,0,0.000012763
usgs_earthquakes,rust,7,1,0.000012383
usgs_earthquakes,rust,7,2,0.000012314
usgs_earthquakes,rust,7,3,0.000012202
usgs_earthquakes,rust,7,4,0.000012133
usgs_earthquakes,rust,7,5,0.000012163
usgs_earthquakes,rust,7,6,0.000012012
usgs_earthquakes,rust,7,7,0.000011902
usgs_earthquakes,rust,7,8,0.000011913
usgs_earthquakes,rust,7,9,0.000012032
usgs_earthquakes,rust,7,10,0.000012053
usgs_earthquakes,rust,7,11,0.000012082
usgs_earthquakes,rust,7,12,0.000011953
usgs_earthquakes,rust,7,13,0.000011842
usgs_earthquakes,rust,7,14,0.000012002
usgs_earthquakes,rust,7,15,0.000012233
usgs_earthquakes,rust,7,16,0.000012023
usgs_earthquakes,rust,7,17,0.000012332
usgs_earthquakes,rust,7,18,0.000012172
usgs_earthquakes,rust,7,19,0.000012253
usgs_earthquakes,rust,7,20,0.000012213
usgs_earthquakes,rust,7,21,0.000012433
